time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
2019-03-13T12:05:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 12:05:27,13/03/2019\ 12:05:07,,,,QBOX-4000-0000-1000-000000000002,SCDL-0d3d-89cd-e4ec-af4a5f812c4a,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1305-17c1-8b36beb93c3c,Down,Docker,,108373818.5,612257185,15.5,715893975
2019-03-13T12:06:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:07:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:08:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:09:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:10:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 12:10:46,13/03/2019\ 12:10:39,,,,QBOX-4000-0000-1000-000000000002,SCDL-2d2c-e452-2a61-6866b02ba3f8,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1310-92a1-f7ef0611c8d1,Down,Docker,,852474.5,719780932.5,5.5,712846443.5
2019-03-13T12:11:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 12:11:10,13/03/2019\ 12:10:56,,,,QBOX-4000-0000-1000-000000000002,SCDL-b398-95c0-c305-0f2c6dac1b07,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0311-1115-996f-9303b7627b3f,Down,QDisk,,0,24186632897.666668,10,54284187
2019-03-13T12:12:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:13:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:14:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:15:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:16:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:17:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:18:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:19:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:20:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:21:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:22:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:23:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:24:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:25:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:26:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:27:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:28:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:29:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:30:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:31:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:32:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:33:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:34:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:35:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:36:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:37:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:38:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 12:38:19,13/03/2019\ 12:38:11,,,,QBOX-6000-0000-0000-000000000004,SCDL-cb2d-a574-893e-5a3b9fbb5837,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0,49403863.666666664,6,47826896
2019-03-13T12:39:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:40:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:41:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:42:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:43:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:44:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T12:45:00.000Z,,,,,,,,,,,,,,,,,,,,
