,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
0,2019-03-13T12:05:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 12:05:27,13/03/2019\ 12:05:07,,,,QBOX-4000-0000-1000-000000000002,SCDL-0d3d-89cd-e4ec-af4a5f812c4a,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1305-17c1-8b36beb93c3c,Down,Docker,,108373818.5,612257185.0,15.5,715893975.0
5,2019-03-13T12:10:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 12:10:46,13/03/2019\ 12:10:39,,,,QBOX-4000-0000-1000-000000000002,SCDL-2d2c-e452-2a61-6866b02ba3f8,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1310-92a1-f7ef0611c8d1,Down,Docker,,852474.5,719780932.5,5.5,712846443.5
6,2019-03-13T12:11:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 12:11:10,13/03/2019\ 12:10:56,,,,QBOX-4000-0000-1000-000000000002,SCDL-b398-95c0-c305-0f2c6dac1b07,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0311-1115-996f-9303b7627b3f,Down,QDisk,,0.0,24186632897.666668,10.0,54284187.0
33,2019-03-13T12:38:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 12:38:19,13/03/2019\ 12:38:11,,,,QBOX-6000-0000-0000-000000000004,SCDL-cb2d-a574-893e-5a3b9fbb5837,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0.0,49403863.66666666,6.0,47826896.0
70,2019-03-13T13:15:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 13:15:40,13/03/2019\ 13:15:33,,,,QBOX-6000-0000-0000-000000000004,SCDL-e4da-4132-93a5-98b27807ac38,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0.0,49403863.66666666,5.0,47826896.0
72,2019-03-13T13:17:00.000Z,QBOX-6000-0000-0000-000000000005,,13/03/2019\ 13:17:34,13/03/2019\ 13:17:31,,,,QBOX-6000-0000-0000-000000000005,SCDL-cd99-3e88-db4c-e13d1cbb5f2e,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0311-1115-7ba8-6c03b84ce456,Down,Docker,,3322.0,7323305935.2,7.8,81715604.8
73,2019-03-13T13:18:00.000Z,QBOX-4000-0000-1000-000000000004,,13/03/2019\ 13:18:27,13/03/2019\ 13:18:21,,,,QBOX-4000-0000-1000-000000000004,SCDL-c228-7198-ed32-202775ba21ed,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1418-4dfd-30d0fa3e93b3,Down,QDisk,,664266.25,2173997364.25,3.75,2172241758.0
104,2019-03-13T13:49:00.000Z,QBOX-7000-0000-0000-000000000001,,13/03/2019\ 13:49:20,13/03/2019\ 13:49:10,,,,QBOX-5000-0000-0000-000000000005,SCDL-7b6b-a459-5b98-855f3c5a723e,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0311-1511-e17f-c5587b6c2756,Down,QDisk,,2076.25,4581005969.375,5.375,53829287.125
109,2019-03-13T13:54:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 13:54:41,13/03/2019\ 13:54:36,,,,QBOX-6000-0000-0000-000000000004,SCDL-06a2-1c13-52cc-01aee0c1e2cf,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,5.0,46227208.5
122,2019-03-13T14:07:00.000Z,QBOX-6000-0000-0000-000000000005,,13/03/2019\ 14:07:47,13/03/2019\ 14:07:44,,,,QBOX-6000-0000-0000-000000000005,SCDL-302f-7a4d-8c75-845844988ff0,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,4.5,46227208.5
148,2019-03-13T14:33:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 14:33:24,13/03/2019\ 14:33:19,,,,QBOX-6000-0000-0000-000000000004,SCDL-2e22-2f08-b966-0765a071a6b0,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,5.0,46227208.5
185,2019-03-13T15:10:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 15:10:27,13/03/2019\ 15:10:21,,,,QBOX-6000-0000-0000-000000000004,SCDL-ff6d-462b-6ceb-1b692acaf76f,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0.0,47781456.33333334,6.0,44627521.0
223,2019-03-13T15:48:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 15:48:06,13/03/2019\ 15:47:59,,,,QBOX-6000-0000-0000-000000000005,SCDL-f233-4491-e067-a93bd738f6d4,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0.0,47781456.33333334,7.5,44627521.0
265,2019-03-13T16:30:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 16:30:36,13/03/2019\ 16:30:29,,,,QBOX-6000-0000-0000-000000000004,SCDL-38df-4877-8e58-78611c8fcb25,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0.0,47781456.33333334,7.0,44627521.0
277,2019-03-13T16:42:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 16:42:55,13/03/2019\ 16:42:52,,,,QBOX-4000-0000-1000-000000000002,SCDL-0564-3192-e768-eba583d40d1d,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1742-c702-933c98cc13ae,Down,Docker,,0.0,162888367.0,3.0,162888367.0
278,2019-03-13T16:43:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 16:43:43,13/03/2019\ 16:43:40,,,,QBOX-4000-0000-1000-000000000002,SCDL-399f-1f6c-2a53-b7bf4a2cdccb,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1743-9abd-1de9136feee3,Down,Docker,,0.0,162888367.0,3.0,162888367.0
280,2019-03-13T16:45:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 16:44:58,13/03/2019\ 16:44:57,,,,QBOX-4000-0000-1000-000000000002,SCDL-9d2b-e5fe-98d0-cb2604181b0b,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1744-db98-430dc7850ba2,Down,Docker,,0.0,162888367.0,1.0,162888367.0
292,2019-03-13T16:57:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 16:57:56,13/03/2019\ 16:57:55,,,,QBOX-4000-0000-1000-000000000002,SCDL-651c-b611-9b97-c421d99a24fa,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1757-c976-9813d381fe43,Down,Docker,,0.0,162888367.0,3.4,162888367.0
297,2019-03-13T17:02:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 17:02:54,13/03/2019\ 17:02:51,,,,QBOX-4000-0000-1000-000000000002,SCDL-285f-6547-f551-120fa28cd8ec,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1802-c624-2d92574d9e88,Down,Docker,,0.0,162888367.0,3.0,162888367.0
300,2019-03-13T17:05:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 17:05:16,13/03/2019\ 17:05:14,,,,QBOX-4000-0000-1000-000000000002,SCDL-8d7a-2a03-3f93-c18e4ae005fc,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1805-3121-3f2b367e8744,Down,Docker,,0.0,114252151.28571428,4.142857142857143,113576308.0
304,2019-03-13T17:09:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 17:09:02,13/03/2019\ 17:09:00,,,,QBOX-4000-0000-1000-000000000002,SCDL-06fa-6f52-1b33-dfc9d9895e76,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1808-e4ca-3f58ce817ad1,Down,Docker,,0.0,162888367.0,2.0,162888367.0
309,2019-03-13T17:14:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 17:13:24,13/03/2019\ 17:12:34,,,,QBOX-4000-0000-1000-000000000002,SCDL-6827-f88d-fa77-9f2ac1d8e471,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1812-7d6d-62b5bfad0ef5,Down,Docker,,50437367.0,1409193302.5,94.0,744877184.0
322,2019-03-13T17:27:00.000Z,QBOX-6000-0000-0000-000000000005,,13/03/2019\ 17:27:49,13/03/2019\ 17:27:45,,,,QBOX-6000-0000-0000-000000000005,SCDL-4c71-65ae-dee2-0bc8c226c93b,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,5.5,46227208.5
341,2019-03-13T17:46:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 17:45:58,13/03/2019\ 17:45:55,,,,QBOX-6000-0000-0000-000000000004,SCDL-81bd-9a1b-1a92-a976d505efcd,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,4.5,46227208.5
358,2019-03-13T18:03:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 18:03:39,13/03/2019\ 18:03:36,,,,QBOX-4000-0000-1000-000000000002,SCDL-8562-ecb0-39ef-6879d742363c,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1903-82d7-ecb63cff64d1,Down,Docker,,0.0,162888367.0,3.0,162888367.0
359,2019-03-13T18:04:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 18:04:00,13/03/2019\ 18:03:57,,,,QBOX-4000-0000-1000-000000000002,SCDL-203f-434e-587b-4df7f24aee11,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1903-d5db-9b7748750754,Down,Docker,,0.0,162888367.0,3.0,162888367.0
370,2019-03-13T18:15:00.000Z,QBOX-4000-0000-1000-000000000002,,13/03/2019\ 18:15:01,13/03/2019\ 18:11:53,,,,QBOX-4000-0000-1000-000000000002,SCDL-427a-b7d1-3a03-f93f905bafa4,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1911-cce9-ea9f7286e5a6,Down,QDisk,,48071681.66666666,1429972273.3333333,108.66666666666669,990406720.3333334
374,2019-03-13T18:19:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 18:19:36,13/03/2019\ 18:19:31,,,,QBOX-6000-0000-0000-000000000004,SCDL-22d4-5695-7048-ab343d28583b,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,5.0,46227208.5
384,2019-03-13T18:29:00.000Z,QBOX-8000-0000-0000-000000000006,,13/03/2019\ 18:29:14,13/03/2019\ 18:29:06,,,,QBOX-5000-0000-0000-000000000005,SCDL-8218-811c-f199-f2f47af4de4d,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1929-16fe-08164d6fb1e1,Down,QDisk,,14405689.857142854,544093007.6190476,5.595238095238094,502201274.9047619
386,2019-03-13T18:31:00.000Z,QBOX-6000-0000-0000-000000000005,,13/03/2019\ 18:31:53,13/03/2019\ 18:31:44,,,,QBOX-5000-0000-0000-000000000004,SCDL-dc3c-42f2-5b8e-71e5f17665e6,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1929-16fe-08164d6fb1e1,Down,QDisk,,2161235.047619048,309680630.23809516,5.3809523809523805,270454659.04761904
387,2019-03-13T18:32:00.000Z,QBOX-5000-0000-0000-000000000005,,13/03/2019\ 18:32:41,13/03/2019\ 18:32:36,,,,QBOX-8000-0000-0000-000000000004,SCDL-9031-bf1b-971a-fb384266277d,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1929-16fe-08164d6fb1e1,Down,QDisk,,0.0,165913507.16666666,5.416666666666668,142752845.79166666
388,2019-03-13T18:33:00.000Z,QBOX-5000-0000-0000-000000000005,,13/03/2019\ 18:33:54,13/03/2019\ 18:33:49,,,,QBOX-8000-0000-0000-000000000004,SCDL-1e0b-95cb-522f-0bbf9fb91ffd,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1929-16fe-08164d6fb1e1,Down,QDisk,,0.0,499464684.3333333,3.4444444444444446,442433823.6666667
