time,transfer_history.actually_transferred_size,transfer_history.attached_node,transfer_history.cached_data_size,transfer_history.chunk_id,transfer_history.completion_date_string,transfer_history.creation_date_string,transfer_history.data_type,transfer_history.remote_location_name,transfer_history.serializer_sampling_time,transfer_history.serializer_session,transfer_history.serializer_task,transfer_history.state,transfer_history.time_transfer_sec,transfer_history.transfer_direction,transfer_history.transfer_size,transfer_history.transfer_type
2019-03-20T23:08:55.659Z,0,QBOX-7000-0000-0000-000000000001,46159049,,20/03/2019\ 23:08:50,20/03/2019\ 23:08:43,,,2019-03-20T23:08:50.0339120Z,00000000-0000-0000-0000-000000000000,424f4a51-0307-1124-91be-93edf97c6c2e,Completed,7,Down,41428146,QDisk
2019-03-20T23:08:55.660Z,0,QBOX-7000-0000-0000-000000000001,51026271,,20/03/2019\ 23:08:47,20/03/2019\ 23:08:43,,,2019-03-20T23:08:50.0339520Z,00000000-0000-0000-0000-000000000000,424f4a51-0307-1124-91be-93edf97c6c2e,Completed,4,Down,51026271,Docker
2019-03-21T01:00:27.232Z,0,QBOX-4000-0000-1000-000000000005,32468163,,21/03/2019\ 01:00:25,21/03/2019\ 01:00:22,,,2019-03-21T01:00:25.9878630Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0200-51c2-d0dca997f090,Completed,3,Down,32468163,Docker
2019-03-21T01:00:35.390Z,0,QBOX-9000-0000-0000-000000000005,40614471,-1,21/03/2019\ 01:00:28,21/03/2019\ 01:00:21,Basesystem,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,2019-03-21T01:00:28.1628880Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0200-4e0a-438598b2a375,Completed,7,Down,35179056,S3
2019-03-21T01:02:03.425Z,0,QBOX-4000-0000-1000-000000000003,32468163,,21/03/2019\ 01:02:00,21/03/2019\ 01:01:55,,,2019-03-21T01:02:00.3177310Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0201-d5c6-ba510a744577,Completed,5,Down,32468163,Docker
2019-03-21T01:02:07.211Z,0,QBOX-4000-0000-1000-000000000005,32468163,,21/03/2019\ 01:02:02,21/03/2019\ 01:01:59,,,2019-03-21T01:02:02.3801470Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0201-dfae-0df492714da6,Completed,3,Down,32468163,Docker
2019-03-21T01:03:37.210Z,0,QBOX-4000-0000-1000-000000000005,445,,21/03/2019\ 01:03:32,21/03/2019\ 01:03:30,,,2019-03-21T01:03:32.7687140Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0203-71ff-dd873b9b4232,Completed,2,Down,0,QDisk
2019-03-21T01:04:05.390Z,0,QBOX-9000-0000-0000-000000000005,445,-1,21/03/2019\ 01:03:56,21/03/2019\ 01:03:53,UserData,f6bf17438fb7eaf6314445e0345abde4fb53c7169281f10a1dfc0814df1f19e9,2019-03-21T01:03:59.8869540Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0203-cdbd-cbde0cea9385,Completed,3,Down,0,S3
2019-03-21T01:04:05.391Z,0,QBOX-9000-0000-0000-000000000005,40614471,-1,21/03/2019\ 01:03:59,21/03/2019\ 01:03:53,Basesystem,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,2019-03-21T01:03:59.8870300Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0203-cdbd-cbde0cea9385,Completed,6,Down,35179056,S3
2019-03-21T01:04:05.392Z,0,QBOX-9000-0000-0000-000000000005,32468163,-1,21/03/2019\ 01:03:56,21/03/2019\ 01:03:53,Docker,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,2019-03-21T01:03:59.8870520Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0203-cdbd-cbde0cea9385,Completed,3,Down,32468163,Docker
2019-03-21T01:05:07.215Z,0,QBOX-4000-0000-1000-000000000005,43563069,,21/03/2019\ 01:05:03,21/03/2019\ 01:05:00,,,2019-03-21T01:05:03.1539470Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0204-e3b5-2a93992c5a0a,Completed,3,Down,43563069,Docker
2019-03-21T01:05:07.216Z,0,QBOX-4000-0000-1000-000000000005,69835911,,21/03/2019\ 01:05:03,21/03/2019\ 01:05:00,,,2019-03-21T01:05:03.1603510Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0204-e6d9-9ff58ccf37f6,Completed,3,Down,69835911,Docker
2019-03-21T01:05:07.217Z,0,QBOX-4000-0000-1000-000000000005,87342427,,21/03/2019\ 01:05:06,21/03/2019\ 01:05:01,,,2019-03-21T01:05:06.1817760Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0204-e952-19a97f23bb87,Completed,5,Down,87342427,Docker
2019-03-21T01:05:25.401Z,445,QBOX-9000-0000-0000-000000000005,0,0,21/03/2019\ 01:05:20,21/03/2019\ 01:05:17,UserResult,62bdd56387326f1e9a06abf986294635c8adba6ea729d662bb5fc14a4af3062f,2019-03-21T01:05:20.4731710Z,00000000-0000-0000-0000-000000000000,424f4a51-0321-0203-cdbd-cbde0cea9385,Completed,3,Up,445,S3
