job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
1,dyn-staging,staging1,180660.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,180660.000075,1.288171,180661.288246,0.000045,1.288216,1.000035,1019 1023,0.000000,""
10,dyn-staging,staging10,263040.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,263040.000120,1.667126,263041.667246,0.000090,1.667216,1.000054,1019 1023,0.000000,""
100,dyn-staging,staging100,304680.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304680.000075,2.566342,304682.566417,0.000045,2.566387,1.000018,1022-1023,0.000000,""
1000,dyn-staging,staging1000,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000570,0.030972,562320.031542,0.000540,0.031512,1.017438,1019 1023,0.000000,""
1001,dyn-staging,staging1001,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000615,3.324252,562323.324867,0.000585,3.324837,1.000176,1016 1023,0.000000,""
1002,dyn-staging,staging1002,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000660,101.244298,562421.244958,0.000630,101.244928,1.000006,1016 1023,0.000000,""
1003,dyn-staging,staging1003,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000705,0.030972,562320.031677,0.000675,0.031647,1.021797,1016 1023,0.000000,""
1004,dyn-staging,staging1004,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000750,0.051943,562320.052693,0.000720,0.052663,1.013863,1016 1023,0.000000,""
1005,dyn-staging,staging1005,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000795,1.667126,562321.667921,0.000765,1.667891,1.000459,1010 1023,0.000000,""
1006,dyn-staging,staging1006,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000840,50.627149,562370.627989,0.000810,50.627959,1.000016,1010 1023,0.000000,""
1007,dyn-staging,staging1007,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000885,0.020486,562320.021371,0.000855,0.021341,1.041742,1010 1023,0.000000,""
1008,dyn-staging,staging1008,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000930,0.030972,562320.031902,0.000900,0.031872,1.029063,1010 1023,0.000000,""
1009,dyn-staging,staging1009,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000975,1.667126,562321.668101,0.000945,1.668071,1.000567,1012 1023,0.000000,""
101,dyn-staging,staging101,304740.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304740.000075,2.566342,304742.566417,0.000045,2.566387,1.000018,1022-1023,0.000000,""
1010,dyn-staging,staging1010,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001020,50.627149,562370.628169,0.000990,50.628139,1.000020,1012 1023,0.000000,""
1011,dyn-staging,staging1011,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001065,0.020486,562320.021551,0.001035,0.021521,1.050530,1012 1023,0.000000,""
1012,dyn-staging,staging1012,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001110,0.030972,562320.032082,0.001080,0.032052,1.034875,1012 1023,0.000000,""
1013,dyn-staging,staging1013,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001155,3.324252,562323.325407,0.001125,3.325377,1.000338,1015 1023,0.000000,""
1014,dyn-staging,staging1014,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001200,101.244298,562421.245498,0.001170,101.245468,1.000012,1015 1023,0.000000,""
1015,dyn-staging,staging1015,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001245,0.030972,562320.032217,0.001215,0.032187,1.039235,1015 1023,0.000000,""
1016,dyn-staging,staging1016,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001290,0.051943,562320.053233,0.001260,0.053203,1.024261,1015 1023,0.000000,""
1017,dyn-staging,staging1017,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001335,1.667126,562321.668461,0.001305,1.668431,1.000783,1011 1023,0.000000,""
1018,dyn-staging,staging1018,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001380,50.627149,562370.628529,0.001350,50.628499,1.000027,1011 1023,0.000000,""
1019,dyn-staging,staging1019,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001425,0.020486,562320.021911,0.001395,0.021881,1.068105,1011 1023,0.000000,""
102,dyn-staging,staging102,304740.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304740.000120,5.387738,304745.387858,0.000090,5.387828,1.000017,1022-1023,0.000000,""
1020,dyn-staging,staging1020,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001470,0.030972,562320.032442,0.001440,0.032412,1.046501,1011 1023,0.000000,""
1021,dyn-staging,staging1021,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001515,3.324252,562323.325767,0.001485,3.325737,1.000447,1017 1023,0.000000,""
1022,dyn-staging,staging1022,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001560,101.244298,562421.245858,0.001530,101.245828,1.000015,1017 1023,0.000000,""
1023,dyn-staging,staging1023,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001605,0.030972,562320.032577,0.001575,0.032547,1.050860,1017 1023,0.000000,""
1024,dyn-staging,staging1024,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001650,0.051943,562320.053593,0.001620,0.053563,1.031192,1017 1023,0.000000,""
1025,dyn-staging,staging1025,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001695,0.672850,562320.674546,0.001665,0.674516,1.002475,1020 1023,0.000000,""
1026,dyn-staging,staging1026,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001740,20.256860,562340.258600,0.001710,20.258570,1.000084,1020 1023,0.000000,""
1027,dyn-staging,staging1027,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001785,0.014194,562320.015980,0.001755,0.015950,1.123658,1020 1023,0.000000,""
1028,dyn-staging,staging1028,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001830,0.018389,562320.020219,0.001800,0.020189,1.097900,1020 1023,0.000000,""
1029,dyn-staging,staging1029,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001875,1.667126,562321.669001,0.001845,1.668971,1.001107,1013 1023,0.000000,""
103,dyn-staging,staging103,304740.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304740.000165,2.566342,304742.566507,0.000135,2.566477,1.000053,1022-1023,0.000000,""
1030,dyn-staging,staging1030,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001920,50.627149,562370.629069,0.001890,50.629039,1.000037,1013 1023,0.000000,""
1031,dyn-staging,staging1031,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001965,0.020486,562320.022451,0.001935,0.022421,1.094468,1013 1023,0.000000,""
1032,dyn-staging,staging1032,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.002010,0.030972,562320.032982,0.001980,0.032952,1.063938,1013 1023,0.000000,""
1033,dyn-staging,staging1033,570420.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,570420.000075,0.030972,570420.031047,0.000045,0.031017,1.001453,1018 1023,0.000000,""
1034,dyn-staging,staging1034,570420.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,570420.000120,102.879866,570522.879986,0.000090,102.879956,1.000001,1018 1023,0.000000,""
1035,dyn-staging,staging1035,570420.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,570420.000165,3.324252,570423.324417,0.000135,3.324387,1.000041,1018 1023,0.000000,""
1036,dyn-staging,staging1036,570420.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,570420.000210,0.020486,570420.020696,0.000180,0.020666,1.008788,1019 1023,0.000000,""
1037,dyn-staging,staging1037,570420.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,570420.000255,51.444933,570471.445188,0.000225,51.445158,1.000004,1019 1023,0.000000,""
1038,dyn-staging,staging1038,570420.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,570420.000300,1.667126,570421.667426,0.000270,1.667396,1.000162,1019 1023,0.000000,""
