job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
1,dyn-staging,staging1,180660.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,180660.000075,0.265634,180660.265709,0.000045,0.265679,1.000169,1019 1023,0.000000,""
10,dyn-staging,staging10,263040.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,263040.000120,0.341425,263040.341545,0.000090,0.341515,1.000264,1019 1023,0.000000,""
100,dyn-staging,staging100,304680.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304680.000075,0.265634,304680.265709,0.000045,0.265679,1.000169,1022-1023,0.000000,""
1000,dyn-staging,staging1000,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000390,0.014194,562320.014584,0.000360,0.014554,1.025366,1018 1023,0.000000,""
1001,dyn-staging,staging1001,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000435,0.341425,562320.341860,0.000405,0.341830,1.001186,1019 1023,0.000000,""
1002,dyn-staging,staging1002,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000480,10.133430,562330.133910,0.000450,10.133880,1.000044,1019 1023,0.000000,""
1003,dyn-staging,staging1003,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000525,0.012097,562320.012622,0.000495,0.012592,1.040924,1019 1023,0.000000,""
1004,dyn-staging,staging1004,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000570,0.014194,562320.014764,0.000540,0.014734,1.038049,1019 1023,0.000000,""
1005,dyn-staging,staging1005,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000615,0.341425,562320.342040,0.000585,0.342010,1.001714,1016 1023,0.000000,""
1006,dyn-staging,staging1006,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000660,10.133430,562330.134090,0.000630,10.134060,1.000062,1016 1023,0.000000,""
1007,dyn-staging,staging1007,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000705,0.012097,562320.012802,0.000675,0.012772,1.055806,1016 1023,0.000000,""
1008,dyn-staging,staging1008,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000750,0.014194,562320.014944,0.000720,0.014914,1.050732,1016 1023,0.000000,""
1009,dyn-staging,staging1009,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000795,0.341425,562320.342220,0.000765,0.342190,1.002241,1012 1023,0.000000,""
101,dyn-staging,staging101,304740.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304740.000075,0.265634,304740.265709,0.000045,0.265679,1.000169,1022-1023,0.000000,""
1010,dyn-staging,staging1010,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000840,10.133430,562330.134270,0.000810,10.134240,1.000080,1012 1023,0.000000,""
1011,dyn-staging,staging1011,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000885,0.012097,562320.012982,0.000855,0.012952,1.070687,1012 1023,0.000000,""
1012,dyn-staging,staging1012,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000930,0.014194,562320.015124,0.000900,0.015094,1.063414,1012 1023,0.000000,""
1013,dyn-staging,staging1013,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.000975,0.341425,562320.342400,0.000945,0.342370,1.002768,1015 1023,0.000000,""
1014,dyn-staging,staging1014,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001020,10.133430,562330.134450,0.000990,10.134420,1.000098,1015 1023,0.000000,""
1015,dyn-staging,staging1015,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001065,0.012097,562320.013162,0.001035,0.013132,1.085569,1015 1023,0.000000,""
1016,dyn-staging,staging1016,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001110,0.014194,562320.015304,0.001080,0.015274,1.076097,1015 1023,0.000000,""
1017,dyn-staging,staging1017,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001155,0.341425,562320.342580,0.001125,0.342550,1.003295,1010 1023,0.000000,""
1018,dyn-staging,staging1018,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001200,10.133430,562330.134630,0.001170,10.134600,1.000115,1010 1023,0.000000,""
1019,dyn-staging,staging1019,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001245,0.012097,562320.013342,0.001215,0.013312,1.100450,1010 1023,0.000000,""
102,dyn-staging,staging102,304740.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304740.000120,0.547774,304740.547894,0.000090,0.547864,1.000164,1022-1023,0.000000,""
1020,dyn-staging,staging1020,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001290,0.014194,562320.015484,0.001260,0.015454,1.088780,1010 1023,0.000000,""
1021,dyn-staging,staging1021,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001335,0.341425,562320.342760,0.001305,0.342730,1.003823,1011 1023,0.000000,""
1022,dyn-staging,staging1022,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001380,10.133430,562330.134810,0.001350,10.134780,1.000133,1011 1023,0.000000,""
1023,dyn-staging,staging1023,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001425,0.012097,562320.013522,0.001395,0.013492,1.115332,1011 1023,0.000000,""
1024,dyn-staging,staging1024,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001470,0.014194,562320.015664,0.001440,0.015634,1.101463,1011 1023,0.000000,""
1025,dyn-staging,staging1025,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001515,0.341425,562320.342940,0.001485,0.342910,1.004350,1017 1023,0.000000,""
1026,dyn-staging,staging1026,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001560,10.133430,562330.134990,0.001530,10.134960,1.000151,1017 1023,0.000000,""
1027,dyn-staging,staging1027,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001605,0.012097,562320.013702,0.001575,0.013672,1.130213,1017 1023,0.000000,""
1028,dyn-staging,staging1028,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001650,0.014194,562320.015845,0.001620,0.015815,1.114146,1017 1023,0.000000,""
1029,dyn-staging,staging1029,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001695,0.341425,562320.343120,0.001665,0.343090,1.004877,1020 1023,0.000000,""
103,dyn-staging,staging103,304740.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,304740.000165,0.265634,304740.265799,0.000135,0.265769,1.000508,1022-1023,0.000000,""
1030,dyn-staging,staging1030,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001740,10.133430,562330.135170,0.001710,10.135140,1.000169,1020 1023,0.000000,""
1031,dyn-staging,staging1031,562320.000030,1,-1.000000,1,COMPLETED_SUCCESSFULLY,562320.001785,0.012097,562320.013882,0.001755,0.013852,1.145095,1020 1023,0.000000,""
