,actually_transferred_size,direction,id,node,profile,res,size,subtime,time_taken,type,job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,ratio_minus_1
0,445.0,Up,0,QBOX-6000-0000-0000-000000000004,0_profile,1,445.0,247.0,2.0,S3,0,ec5494,247.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,247.00002999999998,0.010036,247.01006600000002,2.9999999999999997e-05,0.010066,1.00299,1700 1707,0.0,,198.28258270227184
1,445.0,Up,1,QBOX-4000-0000-1000-000000000007,1_profile,1,445.0,264.0,2.0,S3,1,ec5494,264.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,264.000045,0.010004,264.01004900000004,4.5e-05,0.010048999999999999,1.004499,1697 1707,0.0,,198.9200319872051
8,946919.0,Up,8,QBOX-4000-0000-1000-000000000007,8_profile,1,289891.0,577.0,2.0,S3,8,ec5494,577.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,577.000045,0.017575,577.01762,4.5e-05,0.01762,1.002561,1697 1707,0.0,,112.79800853485064
15,445.0,Up,15,QBOX-4000-0000-1000-000000000007,15_profile,1,445.0,953.0,3.0,S3,15,ec5494,953.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,953.0000449999999,0.010004,953.010049,4.5e-05,0.010048999999999999,1.004499,1697 1707,0.0,,298.88004798080766
16,445.0,Up,16,QBOX-6000-0000-0000-000000000001,16_profile,1,445.0,969.0,3.0,S3,16,ec5494,969.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,969.0000449999999,0.010036,969.010081,4.5e-05,0.010081,1.004485,1699 1707,0.0,,297.92387405340776
17,445.0,Up,17,QBOX-6000-0000-0000-000000000004,17_profile,1,445.0,1068.0,3.0,S3,17,ec5494,1068.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1068.000045,0.010036,1068.0100810000001,4.5e-05,0.010081,1.004485,1700 1707,0.0,,297.92387405340776
18,445.0,Up,18,QBOX-4000-0000-1000-000000000007,18_profile,1,445.0,1093.0,2.0,S3,18,ec5494,1093.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1093.000045,0.010004,1093.010049,4.5e-05,0.010048999999999999,1.004499,1697 1707,0.0,,198.9200319872051
19,445.0,Up,19,QBOX-4000-0000-1000-000000000007,19_profile,1,445.0,1100.0,4.0,S3,19,ec5494,1100.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1100.000045,0.010004,1100.010049,4.5e-05,0.010048999999999999,1.004499,1697 1707,0.0,,398.8400639744102
20,445.0,Up,20,QBOX-6000-0000-0000-000000000004,20_profile,1,445.0,1108.0,3.0,S3,20,ec5494,1108.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1108.000045,0.010036,1108.0100810000001,4.5e-05,0.010081,1.004485,1700 1707,0.0,,297.92387405340776
22,445.0,Up,22,QBOX-4000-0000-1000-000000000007,22_profile,1,445.0,1192.0,2.0,S3,22,ec5494,1192.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1192.000045,0.010004,1192.010049,4.5e-05,0.010048999999999999,1.004499,1697 1707,0.0,,198.9200319872051
24,445.0,Up,24,QBOX-4000-0000-1000-000000000007,24_profile,1,445.0,1783.0,2.0,S3,24,ec5494,1783.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1783.000045,0.010004,1783.0100489999998,4.5e-05,0.010048999999999999,1.004499,1697 1707,0.0,,198.9200319872051
25,1250.0,Down,25,QBOX-4000-0000-1000-000000000007,25_profile,1,1250.0,1920.0,9.0,S3,25,ec5494,1920.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1920.000045,0.01001,1920.010055,4.5e-05,0.010055,1.0044959999999998,1697 1707,0.0,,898.1008991008991
26,25.0,Up,26,QBOX-4000-0000-1000-000000000007,26_profile,1,25.0,1942.0,2.0,S3,26,ec5494,1942.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1942.000045,0.01,1942.010045,4.5e-05,0.010045,1.004501,1697 1707,0.0,,199.0
27,25.0,Up,27,QBOX-4000-0000-1000-000000000007,27_profile,1,25.0,1942.0,2.0,S3,27,ec5494,1942.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,1942.00006,0.01,1942.01006,5.9999999999999995e-05,0.01006,1.006001,1697 1707,0.0,,199.0
