time,transfer_history.actually_transferred_size,transfer_history.attached_node,transfer_history.cached_data_size,transfer_history.chunk_id,transfer_history.completion_date_string,transfer_history.creation_date_string,transfer_history.data_type,transfer_history.remote_location_name,transfer_history.serializer_sampling_time,transfer_history.serializer_session,transfer_history.serializer_task,transfer_history.state,transfer_history.time_transfer_sec,transfer_history.transfer_direction,transfer_history.transfer_size,transfer_history.transfer_type
2019-03-19T10:31:07.971Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:06,19/03/2019\ 10:31:05,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:06.6512850Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-14b4-4152cb54a363,Completed,1,Down,0,S3
2019-03-19T10:31:17.951Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:09,19/03/2019\ 10:31:06,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:09.6932950Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-18a3-7e038f723adb,Completed,3,Down,0,S3
2019-03-19T10:31:17.952Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:09,19/03/2019\ 10:31:08,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:09.7169410Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-212b-cc18f3b7520a,Completed,1,Down,0,S3
2019-03-19T10:31:17.953Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:12,19/03/2019\ 10:31:09,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:12.7549460Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-2584-65ccfd7ce8bd,Completed,3,Down,0,S3
2019-03-19T10:31:17.954Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:15,19/03/2019\ 10:31:14,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:15.8192400Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-3592-3b2db152be7a,Completed,1,Down,0,S3
2019-03-19T10:31:27.968Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:18,19/03/2019\ 10:31:16,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:18.8587670Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-3c28-1b18bf7d3457,Completed,2,Down,0,S3
2019-03-19T10:31:27.969Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:18,19/03/2019\ 10:31:17,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:18.8629930Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-43be-2b48d3a6b5f4,Completed,1,Down,0,S3
2019-03-19T10:31:27.970Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:21,19/03/2019\ 10:31:19,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:21.8981320Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-497c-c51b0a33d943,Completed,2,Down,0,S3
2019-03-19T10:31:27.971Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:24,19/03/2019\ 10:31:22,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:24.9378860Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-571d-45c3030ff487,Completed,2,Down,0,S3
2019-03-19T10:31:57.964Z,0,QBOX-9000-0000-0000-000000000005,5811170,-1,19/03/2019\ 10:31:49,19/03/2019\ 10:31:46,UserData,e5216c2e6710d5804223fb7eb6924aa67bad3d8e0b105634444da5a2e9f37a18,2019-03-19T10:31:49.1437120Z,53455351-0319-1103-ca7f-0aa0a68016cb,424f4a51-0319-1131-b271-3bd32000c7a2,Completed,3,Down,0,S3
