time,qchunk_state.completion_date_string,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T03:35:00.000Z,,0,,06/05/2019\ 03:39:45,,[0-1],docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,<Unknown>,-5,,MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0539-aaf7-19e9a2e4cec9,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:40:00.000Z,06/05/2019\ 03:43:02,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 03:39:45,,[0-1],docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,<Unknown>,-5,[0-1],MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0539-aaf7-19e9a2e4cec9,"SCDL-a14d-b4ce-dfec-fb15fd391627\,SCDL-2cdc-3b5f-c693-0a86e96f884b",0,0,00000000-0000-0000-0000-000000000000,Completed,Completed,10,0,1240,700,20
2019-05-06T03:45:00.000Z,,0,,06/05/2019\ 03:46:59,,[129-130],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-a3c3-309c23a7828b,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:50:00.000Z,06/05/2019\ 03:51:31,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 03:43:19,,[120-121],docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,<Unknown>,-5,[120-121],MOBO-adf0-084e-ac12-00d8611556c4,QJOB-0506-0543-4607-15f6286ddcd9,"SCDL-f7f8-8f4f-f13d-0ced73c05eaa\,SCDL-654c-d6ab-5c60-d7c614883e5e\,SCDL-c977-7c39-591b-326e5f7702a5",0,82.1633453369141,00000000-0000-0000-0000-000000000000,Completed,Completed,50,77.1388931274414,3960,880,20
2019-05-06T04:00:00.000Z,,0,,06/05/2019\ 04:02:28,,[9-10],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8b69-309c23a7826f,QJOB-0505-2156-376e-9a03f2e4adbf,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T04:05:00.000Z,,0,,06/05/2019\ 04:08:01,,[7-8],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8bae-309c23a785ba,QJOB-0506-0607-e56e-0a9b7331e8d7,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T04:10:00.000Z,06/05/2019\ 04:12:57,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 04:08:01,[16-17],[16-17],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8b45-309c23845831,QJOB-0506-0607-e56e-0a9b7331e8d7,"SCDL-52df-f091-415f-31112603acbf\,SCDL-1ec5-ec5a-7cbd-92f93593d1d8\,SCDL-ff04-9b66-9602-f79126750e8a",0,0.00545956008136272,00000000-0000-0000-0000-000000000000,Failed,Failed,20,0.00557600008323789,1860,1040,10
2019-05-06T04:15:00.000Z,06/05/2019\ 04:19:30,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 04:19:26,,[0-1],docker.base.config>docker.base>docker-batch>Session>sample10-pool1>sample10-pool1-task1,docker.base.config>docker.base>docker-batch>Session>sample10-pool1>sample10-pool1-task1,<Unknown>,-5,[0-1],MOBO-adf0-084e-ac12-00d8611575c2,QJOB-0506-0618-02ec-cd1cd358f259,,0,0,53455351-0506-0617-e7ce-c87f03d77fe1,Completed,Completed,10,0,10,10,20
2019-05-06T04:20:00.000Z,,0,,06/05/2019\ 04:23:59,,[9-10],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8b69-309c23a7826f,QJOB-0506-0622-655f-3d2ff531bb4d,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T04:25:00.000Z,,0,,06/05/2019\ 04:25:52,,[10-11],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-88c3-309c23a781f3,QJOB-0506-0622-655f-3d2ff531bb4d,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
