time,qchunk_state.completion_date_string,qchunk_state.computed_range,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_q_mobo,qchunk_state.serializer_sampling_time,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T03:39:33.360Z,06/05/2019\ 03:39:24,[0-1],0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 03:20:20,,[0-1],docker.base.config>docker.base>docker-batch>sample3-dockerhub-library/debian:jessie,docker.base.config>docker.base>docker-batch>sample3-dockerhub-library/debian:jessie,<Unknown>,-5,[0-1],MOBO-adf0-084e-ac12-00d861156af8,QJOB-0506-0520-40c0-ece6ed522f17,"SCDL-e37b-ca34-5f5c-349fb8dc404e\,SCDL-a1b0-cc3e-a3a3-9954f0c53f77",0,0,4f424f4d-adf0-084e-ac12-00d861156af8,2019-05-06T03:39:24.9155230Z,00000000-0000-0000-0000-000000000000,Completed,Completed,10,0,10700,740,10
2019-05-06T03:39:50.370Z,,,0,,06/05/2019\ 03:39:45,,[0-1],docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,<Unknown>,-5,,MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0539-aaf7-19e9a2e4cec9,,0,0,4f424f4d-adf0-094e-09e2-00d8611556aa,2019-05-06T03:39:45.6242040Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:43:10.304Z,06/05/2019\ 03:43:02,[0-1],0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 03:39:45,,[0-1],docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,docker.base.config>docker.base>docker-batch>sample4-dockerhub-private,<Unknown>,-5,[0-1],MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0539-aaf7-19e9a2e4cec9,"SCDL-a14d-b4ce-dfec-fb15fd391627\,SCDL-2cdc-3b5f-c693-0a86e96f884b",0,0,4f424f4d-adf0-094e-09e2-00d8611556aa,2019-05-06T03:43:02.7298850Z,00000000-0000-0000-0000-000000000000,Completed,Completed,10,0,1240,700,20
2019-05-06T03:43:20.361Z,,,0,,06/05/2019\ 03:43:19,,[115-116],docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,<Unknown>,-5,,MOBO-adf0-094e-09e2-00d86115561a,QJOB-0506-0543-4607-15f6286ddcd9,,0,0,4f424f4d-adf0-094e-09e2-00d86115561a,2019-05-06T03:43:19.8187280Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:43:23.357Z,,,0,,06/05/2019\ 03:43:19,,[116-117],docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,<Unknown>,-5,,MOBO-adf0-084e-ac12-00d8611575c2,QJOB-0506-0543-4607-15f6286ddcd9,,0,0,4f424f4d-adf0-084e-ac12-00d8611575c2,2019-05-06T03:43:19.9171000Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:43:23.358Z,,,0,,06/05/2019\ 03:43:19,,[118-119],docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,<Unknown>,-5,,MOBO-adf0-084e-ac12-00d861156af6,QJOB-0506-0543-4607-15f6286ddcd9,,0,0,4f424f4d-adf0-084e-ac12-00d861156af6,2019-05-06T03:43:19.9187980Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:43:23.359Z,,,0,,06/05/2019\ 03:43:19,,[120-121],docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,<Unknown>,-5,,MOBO-adf0-084e-ac12-00d8611556c4,QJOB-0506-0543-4607-15f6286ddcd9,,0,0,4f424f4d-adf0-084e-ac12-00d8611556c4,2019-05-06T03:43:19.9204450Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:47:08.978Z,,,0,,06/05/2019\ 03:46:59,,[129-130],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-a3c3-309c23a7828b,QJOB-0425-1504-9b73-148267a8fd96,,0,0,4f424f4d-58d8-00d7-a3c3-309c23a7828b,2019-05-06T03:47:00.0547090Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T03:49:07.061Z,06/05/2019\ 03:49:06,,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,06/05/2019\ 00:11:53,,[137-138],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-b794-94de80a6167e,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-4f69-4856-5f39-6b3636ceffd8\,SCDL-f19f-e707-35a5-4ce59dc75f3b",0,479073.15625,4f424f4d-0400-9ea3-b794-94de80a6167e,2019-05-06T03:49:06.3255770Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,129770,454270.3125,10,550,0
2019-05-06T03:51:23.372Z,06/05/2019\ 03:51:16,[116-117],0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 03:43:19,,[116-117],docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,docker.base.config>docker.base>blender.base>blender-2.78c>sample5-blender,<Unknown>,-5,[116-117],MOBO-adf0-084e-ac12-00d8611575c2,QJOB-0506-0543-4607-15f6286ddcd9,"SCDL-f7f8-8f4f-f13d-0ced73c05eaa\,SCDL-654c-d6ab-5c60-d7c614883e5e\,SCDL-c977-7c39-591b-326e5f7702a5",0,84.1085815429688,4f424f4d-adf0-084e-ac12-00d8611575c2,2019-05-06T03:51:16.6204270Z,00000000-0000-0000-0000-000000000000,Completed,Completed,50,78.3686065673828,3960,710,40
